index,monthly_real,monthly_imag,monthly_modulus,annual_real,annual_imag,annual_modulus,annual_phase_radians_principal,annual_stability
23,-0.04458121964345915,-0.14884130454235958,0.15537444797253433,-1.8590630544260433e-10,6.79925727501474e-11,1.9794985312574237e-10,2.7909687430618053,decay
50,0.1389991169762489,0.04903083049614046,0.147393272774975,-6.303684912451541e-11,-8.413644510968962e-11,1.051312786150855e-10,-2.2137991274817868,decay
51,0.1389991169762489,-0.04903083049614046,0.147393272774975,-6.303684912451541e-11,8.413644510968962e-11,1.051312786150855e-10,2.2137991274817868,decay
38,0.055387702488495165,0.12521772143732415,0.13692068999573936,1.2210735038656612e-11,4.1661324259154914e-11,4.341391469576e-11,1.2856861680793967,decay
39,0.055387702488495165,-0.12521772143732415,0.13692068999573936,1.2210735038656612e-11,-4.1661324259154914e-11,4.341391469576e-11,-1.2856861680793967,decay
34,0.01993997809665721,0.13177099920401097,0.13327114825692254,-7.199889188727933e-12,-3.055627473158641e-11,3.1393061809930986e-11,-1.8022025713936658,decay
35,0.01993997809665721,-0.13177099920401097,0.13327114825692254,-7.199889188727933e-12,3.055627473158641e-11,3.1393061809930986e-11,1.8022025713936658,decay
52,0.1098962467535937,0.05077712021791518,0.12105990660888255,4.588888163366588e-12,-8.781726182685608e-12,9.908411039291412e-12,-1.0892721438129802,decay
53,0.1098962467535937,-0.05077712021791518,0.12105990660888255,4.588888163366588e-12,8.781726182685608e-12,9.908411039291412e-12,1.0892721438129802,decay
24,-0.0976823573468657,0.06909706223986511,0.11965052004492317,3.869603574363089e-12,-7.690818404773816e-12,8.609443626502891e-12,-1.1046351840641573,decay
25,-0.0976823573468657,-0.06909706223986511,0.11965052004492317,3.869603574363089e-12,7.690818404773816e-12,8.609443626502891e-12,1.1046351840641573,decay
26,-0.10602255716028305,0.02691359396184688,0.10938521000002079,-2.897542765018173e-12,-4.629391575472243e-13,2.934291522446209e-12,-2.9831620790856896,decay
27,-0.10602255716028305,-0.02691359396184688,0.10938521000002079,-2.897542765018173e-12,4.629391575472243e-13,2.934291522446209e-12,2.9831620790856896,decay
56,0.08728952114932276,0.0498010579586257,0.10049679535326717,1.0592595411606068e-12,-6.53200902312937e-14,1.0612716380491867e-12,-0.06158781597055802,decay
57,0.08728952114932276,-0.0498010579586257,0.10049679535326717,1.0592595411606068e-12,6.53200902312937e-14,1.0612716380491867e-12,0.06158781597055802,decay
44,-0.03362116430796188,0.08046268928700666,0.08720451282313517,7.188586101564587e-15,-1.9327128110183458e-13,1.9340492203892838e-13,-1.5336191844996274,decay
45,-0.03362116430796188,-0.08046268928700666,0.08720451282313517,7.188586101564587e-15,1.9327128110183458e-13,1.9340492203892838e-13,1.5336191844996274,decay
54,0.04619679465349055,0.06750245229439948,0.08179685141870958,5.4437946942945626e-14,-7.130446532430885e-14,8.970962513882513e-14,-0.9187377446176526,decay
55,0.04619679465349055,-0.06750245229439948,0.08179685141870958,5.4437946942945626e-14,7.130446532430885e-14,8.970962513882513e-14,0.9187377446176526,decay
58,0.0560025791480529,0.04592128469198873,0.07242273993019463,-7.872009049771667e-15,1.9275403582820353e-14,2.0820895988412475e-14,1.9585201187705095,decay
59,0.0560025791480529,-0.04592128469198873,0.07242273993019463,-7.872009049771667e-15,-1.9275403582820353e-14,2.0820895988412475e-14,-1.9585201187705095,decay
46,-0.04901739799699949,0.05027615680799691,0.0702167875210661,-1.4198656095914904e-14,2.1766806476200575e-15,1.436453179090029e-14,2.9894750598639566,decay
47,-0.04901739799699949,-0.05027615680799691,0.0702167875210661,-1.4198656095914904e-14,-2.1766806476200575e-15,1.436453179090029e-14,-2.9894750598639566,decay
60,0.0631137463935131,0.0,0.0631137463935131,3.994730861472508e-15,0.0,3.994730861472508e-15,0.0,decay
48,-0.04495151921160006,0.017901818359411223,0.04838506153767092,-2.6954072829756045e-17,1.624187010412943e-16,1.6464008166316344e-16,1.735251756752227,decay
49,-0.04495151921160006,-0.017901818359411223,0.04838506153767092,-2.6954072829756045e-17,-1.624187010412943e-16,1.6464008166316344e-16,-1.735251756752227,decay
63,0.027245001200668112,0.0,0.027245001200668112,1.6727921298646699e-19,0.0,1.6727921298646699e-19,0.0,decay
61,-0.002925906688711377,0.0032238053763703985,0.004353602078252061,-3.8760771748464573e-29,2.544133482454643e-29,4.636441463225054e-29,2.5607537424786395,decay
62,-0.002925906688711377,-0.0032238053763703985,0.004353602078252061,-3.8760771748464573e-29,-2.544133482454643e-29,4.636441463225054e-29,-2.5607537424786395,decay
