group,label,representation,month,year,part,region,rms_wind_m_s,rms_geostrophic_m_s,rms_residual_m_s,residual_over_wind_rms,mean_speed_m_s,max_speed_m_s,strong_direction_abs_mean_deg,direction_area_fraction,valid_area_fraction
historical_reference,2017-01,L12_native,1,2017,total,review,22.37978650869845,23.91530853611095,2.220113845233328,0.09920174369717186,19.380104302958042,37.63684529050877,1.25619908526752,0.506956305023148,1.0
historical_reference,2017-01,L12_native,1,2017,total,focus,29.196339277378055,31.476111061946312,2.515600504591092,0.08616150403965996,28.122963895151475,37.63684529050877,0.42645755057779255,0.8321163673686669,1.0
historical_reference,2017-01,L12_native,1,2017,climatology,review,22.678706914926856,24.055665790377503,1.9830873558136675,0.08744269958832718,19.92966940021541,38.09074514087267,1.7808599120137798,0.5320562783992538,1.0
historical_reference,2017-01,L12_native,1,2017,climatology,focus,30.429311056544943,31.62813509087727,1.6800692965391661,0.055212202912422015,29.798843195768445,38.09074514087267,1.3487786125000016,0.945186802495043,1.0
historical_reference,2017-01,L12_native,1,2017,anomaly,review,4.029929766031846,3.851931550916377,1.2070230334640326,0.2995146574607807,3.6559770495001866,7.332934882350047,10.725218577191146,0.43110745032543163,1.0
historical_reference,2017-01,L12_native,1,2017,anomaly,focus,5.355325777745361,4.600043333493592,1.4733886327053904,0.2751258642057253,5.156538763173201,7.332934882350047,10.277272300919584,0.7670256953705433,1.0
historical_reference,2017-01,L12_fine,1,2017,total,review,22.401181826638034,24.07951014901829,2.282363981164132,0.1018858736484203,19.415383351509202,37.63684529050877,1.2730125959078211,0.508609029563745,1.0
historical_reference,2017-01,L12_fine,1,2017,total,focus,29.261288323053254,31.777619985581516,2.716345278957871,0.09283067953019081,28.211651237011466,37.63684529050877,0.4295415989382443,0.816663785885808,1.0
historical_reference,2017-01,L12_fine,1,2017,climatology,review,22.697684413356143,24.200295743706473,2.0326062273329835,0.08955125951689256,19.964936550268654,38.09074514087267,1.7661067612648982,0.5300573823850415,1.0
historical_reference,2017-01,L12_fine,1,2017,climatology,focus,30.5004428191247,31.90598831206731,1.8076188733994953,0.05926533211727876,29.898188512093373,38.09074514087267,1.3252295735688653,0.9173447167236141,1.0
historical_reference,2017-01,L12_fine,1,2017,anomaly,review,4.026168262858025,3.8934409306070297,1.2092607050633766,0.3003502650942283,3.651865913753541,7.332934882350047,11.255959326089735,0.43223066040102365,1.0
historical_reference,2017-01,L12_fine,1,2017,anomaly,focus,5.362918450949322,4.66121644824045,1.4821478670723456,0.27636964474259007,5.163252330529866,7.332934882350047,10.988507668193085,0.7514933079072732,1.0
historical_reference,2017-01,matched_hybrid_fine,1,2017,total,review,22.42976677163108,24.07951014901829,2.3954813961622023,0.10679921109086077,19.489156192536907,38.21167080874595,1.334634701389571,0.5112918604137686,1.0
historical_reference,2017-01,matched_hybrid_fine,1,2017,total,focus,29.299810072691457,31.777619985581516,2.7105264635582365,0.09251003528123722,28.258296251941697,38.21167080874595,0.49858507241649636,0.816663785885808,1.0
historical_reference,2017-01,matched_hybrid_fine,1,2017,climatology,review,22.7312972707376,24.200295743706473,2.169449797303906,0.09543889077094941,20.043125737481535,37.71058126644694,1.866432048715158,0.5340282685663454,1.0
historical_reference,2017-01,matched_hybrid_fine,1,2017,climatology,focus,30.53599083757599,31.90598831206731,1.8532368243548705,0.060690246935572636,29.956257871271372,37.71058126644694,1.531116837587034,0.9129276400575144,1.0
historical_reference,2017-01,matched_hybrid_fine,1,2017,anomaly,review,4.026168262858024,3.8934409306070297,1.2092607050633766,0.30035026509422835,3.651865913753541,7.332934882350051,11.176695525054496,0.4325854691538247,1.0
historical_reference,2017-01,matched_hybrid_fine,1,2017,anomaly,focus,5.362918450949322,4.66121644824045,1.4821478670723456,0.27636964474259007,5.163252330529866,7.332934882350051,10.98850766819307,0.7514933079072732,1.0
historical_reference,2018-01,native,1,2018,total,review,21.952722983466245,23.47121860002021,1.9012836549194676,0.0866081012524699,19.076720522137432,39.290364568192324,1.5489129017880647,0.48709072055399194,1.0
historical_reference,2018-01,native,1,2018,total,focus,28.604739252680663,30.78359318241713,2.432716354027988,0.0850459195778199,27.90712130059428,39.290364568192324,1.262933465218397,0.8676290880018479,1.0
historical_reference,2018-01,native,1,2018,climatology,review,22.786057437789367,24.214047841490256,1.7238298339191316,0.07565283457331494,20.056060687508463,37.71058126644694,1.694818908993416,0.5439678646601609,1.0
historical_reference,2018-01,native,1,2018,climatology,focus,30.576198333676523,32.28910132124462,1.952355351076804,0.06385212869732357,29.95983715727749,37.71058126644694,1.3479326109021696,0.9345864492019454,1.0
historical_reference,2018-01,native,1,2018,anomaly,review,4.625502001214823,4.549547727759899,1.1705492812078886,0.2530642686783965,3.9535528049855824,13.738553939384916,9.464596601480135,0.30141811001658453,1.0
historical_reference,2018-01,native,1,2018,anomaly,focus,4.002338588856786,3.6920470806070984,1.316523366205297,0.32893852855696154,3.6472135524368587,7.552096411977161,10.099010982770737,0.6268617340822518,1.0
historical_reference,2018-01,L12_native,1,2018,total,review,21.787901692149582,23.2365146154513,2.676221307008692,0.12283061236562141,19.104976880256512,37.46380728982571,1.81680240915957,0.4935018161421322,1.0
historical_reference,2018-01,L12_native,1,2018,total,focus,28.301617500339272,29.985073661255214,2.423990550153404,0.08564848104969074,27.646527834533675,37.46380728982571,1.2865767845272513,0.8656716267473366,1.0
historical_reference,2018-01,L12_native,1,2018,climatology,review,22.678706914926856,24.055665790377503,1.9830873558136675,0.08744269958832718,19.92966940021541,38.09074514087267,1.7808599120137798,0.5320562783992538,1.0
historical_reference,2018-01,L12_native,1,2018,climatology,focus,30.429311056544943,31.62813509087727,1.6800692965391661,0.055212202912422015,29.798843195768445,38.09074514087267,1.3487786125000016,0.945186802495043,1.0
historical_reference,2018-01,L12_native,1,2018,anomaly,review,4.2320328119324735,3.8590825299801392,1.4457667236970695,0.3416246489442715,3.5713066623510055,9.867841023120949,13.508521903348932,0.2268272384533622,1.0
historical_reference,2018-01,L12_native,1,2018,anomaly,focus,3.872087362127855,3.5408214685292987,1.4874200230063204,0.38413906606407977,3.4213702875100633,7.530100646221158,11.02621248452621,0.549889128574377,1.0
historical_reference,2018-01,L12_fine,1,2018,total,review,21.802114189019058,23.381323967640633,2.7171566205154702,0.12462812537162128,19.136574214677722,37.46380728982571,1.7995007245535646,0.49249186285806773,1.0
historical_reference,2018-01,L12_fine,1,2018,total,focus,28.36648070356002,30.253940177553723,2.550905351367691,0.08992674762955527,27.741223488867245,37.46380728982571,1.2994786048242222,0.8682299241131705,1.0
historical_reference,2018-01,L12_fine,1,2018,climatology,review,22.697684413356143,24.200295743706473,2.0326062273329835,0.08955125951689256,19.964936550268654,38.09074514087267,1.7661067612648982,0.5300573823850415,1.0
historical_reference,2018-01,L12_fine,1,2018,climatology,focus,30.5004428191247,31.90598831206731,1.8076188733994953,0.05926533211727876,29.898188512093373,38.09074514087267,1.3252295735688653,0.9173447167236141,1.0
historical_reference,2018-01,L12_fine,1,2018,anomaly,review,4.235800489426339,3.884931702520844,1.4551534746280788,0.3435368304669969,3.5730014077044303,9.867841023120949,13.02588129332826,0.22223456619286694,1.0
historical_reference,2018-01,L12_fine,1,2018,anomaly,focus,3.8739287526525987,3.5599912443168247,1.4961967069338906,0.38622205065320275,3.421323553137438,7.530100646221158,10.849183549829439,0.5456292223612378,1.0
historical_reference,2018-01,matched_hybrid_fine,1,2018,total,review,21.79997720207987,23.381323967640633,2.8210388955288206,0.12940558925261966,19.169533365308105,36.672530932144696,1.8771031350130436,0.5001686867287866,1.0
historical_reference,2018-01,matched_hybrid_fine,1,2018,total,focus,28.381741288527646,30.253940177553723,2.556478493707225,0.09007475854698861,27.789006413299465,36.672530932144696,1.4866146497673969,0.8752972467789301,1.0
historical_reference,2018-01,matched_hybrid_fine,1,2018,climatology,review,22.7312972707376,24.200295743706473,2.169449797303906,0.09543889077094941,20.043125737481535,37.71058126644694,1.866432048715158,0.5340282685663454,1.0
historical_reference,2018-01,matched_hybrid_fine,1,2018,climatology,focus,30.53599083757599,31.90598831206731,1.8532368243548705,0.060690246935572636,29.956257871271372,37.71058126644694,1.531116837587034,0.9129276400575144,1.0
historical_reference,2018-01,matched_hybrid_fine,1,2018,anomaly,review,4.235800489426339,3.884931702520844,1.4551534746280788,0.3435368304669969,3.57300140770443,9.867841023120949,12.929505183645144,0.22586454628861471,1.0
historical_reference,2018-01,matched_hybrid_fine,1,2018,anomaly,focus,3.8739287526525987,3.5599912443168247,1.4961967069338904,0.3862220506532027,3.421323553137438,7.53010064622116,10.754369534953236,0.5526965450269973,1.0
historical_reference,2019-01,native,1,2019,total,review,24.391386294368747,26.149745628133168,2.3454451634159077,0.09615874780997594,21.44953045703668,39.21209083093679,1.760748124269361,0.5480710909831968,1.0
historical_reference,2019-01,native,1,2019,total,focus,32.2206449405534,35.62871705430182,3.6109858069517777,0.11207056263504321,31.29628346821995,39.21209083093679,1.3545860605460953,0.8639174272479602,1.0
historical_reference,2019-01,native,1,2019,climatology,review,22.786057437789367,24.214047841490256,1.7238298339191316,0.07565283457331494,20.056060687508463,37.71058126644694,1.694818908993416,0.5439678646601609,1.0
historical_reference,2019-01,native,1,2019,climatology,focus,30.576198333676523,32.28910132124462,1.952355351076804,0.06385212869732357,29.95983715727749,37.71058126644694,1.3479326109021696,0.9345864492019454,1.0
historical_reference,2019-01,native,1,2019,anomaly,review,4.945544365683553,5.035442426450011,1.7571958754449173,0.35530888927776205,4.554441397884848,9.217626171663273,15.36459439852487,0.4829355953060389,1.0
historical_reference,2019-01,native,1,2019,anomaly,focus,5.767054075887903,6.252405083896101,2.26555629551997,0.3928446422918554,5.373046576610886,9.217626171663273,17.548562126788365,0.7796289657853742,1.0
historical_reference,2019-01,L12_native,1,2019,total,review,24.142360509077434,25.955628391558395,2.6266933858963695,0.10880018898353966,21.22281055875496,39.5932587454099,1.8445030272923362,0.545358752267318,1.0
historical_reference,2019-01,L12_native,1,2019,total,focus,32.1080167386887,34.93683693676052,3.1526719928974516,0.09818955865619147,31.23158755330976,39.5932587454099,0.9465862972234642,0.8709843294433588,1.0
historical_reference,2019-01,L12_native,1,2019,climatology,review,22.678706914926856,24.055665790377503,1.9830873558136675,0.08744269958832718,19.92966940021541,38.09074514087267,1.7808599120137798,0.5320562783992538,1.0
